topic,method,sample_index,ratio,time_usec,decompress_usec,uncompressed_MB,compressed_MB,compressed_zstd_MB
/os_cloud_node/points_decim_1,ZSTD only,0,0.461416,13688,5461,6,2.76849,
/os_cloud_node/points_decim_1,ZSTD only,1,0.460692,13870,5418,6,2.76415,
/os_cloud_node/points_decim_1,ZSTD only,2,0.461383,13629,5398,6,2.7683,
/os_cloud_node/points_decim_1,ZSTD only,3,0.461034,14256,5431,6,2.7662,
/os_cloud_node/points_decim_1,ZSTD only,4,0.462049,14057,5413,6,2.77229,
/os_cloud_node/points_decim_1,ZSTD only,5,0.46547,14009,5441,6,2.79282,
/os_cloud_node/points_decim_1,ZSTD only,6,0.468358,14111,5468,6,2.81015,
/os_cloud_node/points_decim_1,ZSTD only,7,0.470496,14222,5458,6,2.82298,
/os_cloud_node/points_decim_1,ZSTD only,8,0.471756,14168,5472,6,2.83054,
/os_cloud_node/points_decim_1,ZSTD only,9,0.473963,13946,5471,6,2.84378,
/os_cloud_node/points_decim_1,ZSTD only,10,0.474107,14145,5476,6,2.84464,
/os_cloud_node/points_decim_1,ZSTD only,11,0.474798,13760,5635,6,2.84879,
/os_cloud_node/points_decim_1,ZSTD only,12,0.471471,14006,5522,6,2.82883,
/os_cloud_node/points_decim_1,ZSTD only,13,0.466137,14114,5476,6,2.79682,
/os_cloud_node/points_decim_1,ZSTD only,14,0.463629,13978,5438,6,2.78177,
/os_cloud_node/points_decim_1,ZSTD only,15,0.456563,13966,5313,6,2.73938,
/os_cloud_node/points_decim_1,ZSTD only,16,0.448088,13848,5211,6,2.68853,
/os_cloud_node/points_decim_1,ZSTD only,17,0.440379,13754,5144,6,2.64228,
/os_cloud_node/points_decim_1,ZSTD only,18,0.435528,13344,5134,6,2.61317,
/os_cloud_node/points_decim_1,ZSTD only,19,0.434165,13612,5114,6,2.60499,
/os_cloud_node/points_decim_1,ZSTD only,20,0.432564,13622,5124,6,2.59539,
/os_cloud_node/points_decim_1,ZSTD only,21,0.436423,13076,5205,6,2.61854,
/os_cloud_node/points_decim_1,ZSTD only,22,0.436342,13361,5129,6,2.61805,
/os_cloud_node/points_decim_1,ZSTD only,23,0.435771,13662,5236,6,2.61462,
/os_cloud_node/points_decim_1,ZSTD only,24,0.438719,13476,5151,6,2.63231,
/os_cloud_node/points_decim_1,ZSTD only,25,0.439647,13692,5128,6,2.63788,
/os_cloud_node/points_decim_1,ZSTD only,26,0.439132,13444,5146,6,2.63479,
/os_cloud_node/points_decim_1,ZSTD only,27,0.44182,13571,5169,6,2.65092,
/os_cloud_node/points_decim_1,ZSTD only,28,0.442175,13665,5127,6,2.65305,
/os_cloud_node/points_decim_1,ZSTD only,29,0.442801,13654,5137,6,2.65681,
/os_cloud_node/points_decim_1,ZSTD only,30,0.443063,13517,5182,6,2.65838,
/os_cloud_node/points_decim_1,ZSTD only,31,0.440627,13699,5541,6,2.64376,
/os_cloud_node/points_decim_1,ZSTD only,32,0.433091,13347,5119,6,2.59855,
/os_cloud_node/points_decim_1,ZSTD only,33,0.429631,14409,5162,6,2.57779,
/os_cloud_node/points_decim_1,ZSTD only,34,0.429692,15355,5271,6,2.57815,
/os_cloud_node/points_decim_1,ZSTD only,35,0.436635,15171,5216,6,2.61981,
/os_cloud_node/points_decim_1,ZSTD only,36,0.437104,15005,5223,6,2.62262,
/os_cloud_node/points_decim_1,ZSTD only,37,0.436143,15373,5222,6,2.61686,
/os_cloud_node/points_decim_1,ZSTD only,38,0.436623,15638,5270,6,2.61974,
/os_cloud_node/points_decim_1,ZSTD only,39,0.436646,15349,5245,6,2.61988,
/os_cloud_node/points_decim_1,ZSTD only,40,0.436785,14861,5262,6,2.62071,
/os_cloud_node/points_decim_1,ZSTD only,41,0.433248,14898,5225,6,2.59949,
/os_cloud_node/points_decim_1,ZSTD only,42,0.432556,15377,5250,6,2.59533,
/os_cloud_node/points_decim_1,ZSTD only,43,0.432432,15208,5218,6,2.59459,
/os_cloud_node/points_decim_1,ZSTD only,44,0.435187,15578,5267,6,2.61112,
/os_cloud_node/points_decim_1,ZSTD only,45,0.433959,15683,5279,6,2.60375,
/os_cloud_node/points_decim_1,ZSTD only,46,0.433723,15349,5237,6,2.60234,
/os_cloud_node/points_decim_1,ZSTD only,47,0.433077,15348,5234,6,2.59846,
/os_cloud_node/points_decim_1,ZSTD only,48,0.433717,15389,5232,6,2.6023,
/os_cloud_node/points_decim_1,ZSTD only,49,0.429255,15154,5227,6,2.57553,
