topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,ZSTD only,558,0.468196,0.0243591,7.35342e-60,13795.4,874.948,0,5392.87,200.801,0,6,2.80918
/os_cloud_node/points_decim_1,LZ4 only,558,0.589341,0.0246209,7.29369e-60,14858,2772.83,1.94312e-94,1880.23,166.299,9.20146e-57,6,3.53605
/os_cloud_node/points_decim_1,Cloudini 0p0001,558,0.337156,0.00887475,0,5034.51,369.805,0,6423.15,1039.36,1.1667e-12,6,2.02293
/os_cloud_node/points_decim_1,Cloudini 0p001,558,0.300762,0.0068904,0,4637.25,207.262,0,6121.93,1010.82,2.47399e-18,6,1.80457
/os_cloud_node/points_decim_1,Cloudini 0p01,558,0.283929,0.00559975,0,4318.9,173.813,0,5896.81,1006.17,3.7502e-18,6,1.70357
/os_cloud_node/points_decim_1,Cloudini 0p1,558,0.276497,0.00614726,0,4266.3,248.477,0,5855.3,1009.32,1.1241e-18,6,1.65898
/os_cloud_node/points_decim_1,Cloudini 0p2,558,0.273644,0.00660255,2.88139e-320,4376.58,148.529,0,5922.55,1023.41,8.41878e-18,6,1.64186
/os_cloud_node/points_decim_1,Cloudini 0p5,558,0.267842,0.00646114,0,4437.71,239.75,0,5967.86,1036.98,1.55869e-17,6,1.60705
/os_cloud_node/points_decim_1,Cloudini-LZ4 0p0001,558,0.325182,0.0137005,6.8899e-55,5677.9,268.849,0,8075.69,386.114,0,6,1.95109
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p0001,558,0.286596,0.0119302,6.29835e-52,6203.65,371.079,0,8436.05,1018.26,1.88965e-17,6,1.71958
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p001,558,0.250576,0.0102642,2.18426e-100,5704.98,160.086,0,8041.8,1032.11,2.83294e-16,6,1.50346
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p01,558,0.222633,0.00945233,7.6729e-163,5520.8,139.801,0,7683.39,1022.93,8.48566e-18,6,1.3358
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p1,558,0.200241,0.0088164,3.47845e-237,6161.64,220.654,1.04696e-06,7804.79,1037.04,5.07407e-11,6,1.20145
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p2,558,0.195745,0.0085765,3.2196e-202,6384.83,613.104,0,7899.54,1055.21,5.54547e-09,6,1.17447
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p5,558,0.190542,0.00819178,1.46378e-199,6056.39,165.054,0,7824.36,1035.14,7.62743e-18,6,1.14325
/os_cloud_node/points_decim_1,Draco 16,558,0.285305,0.0116923,4.58809e-212,47756.1,1173.78,2.49182e-207,22779.4,518.782,2.51563e-30,6,1.71183
/os_cloud_node/points_decim_1,Draco 16 + ZSTD,558,0.271986,0.0130006,4.91536e-120,53016,1658.38,1.21838e-85,24015,558.387,3.49077e-31,6,1.63192
/os_cloud_node/points_decim_1,Draco 14,558,0.253874,0.0112071,0,45702.7,2035.95,0,22568.9,491.474,9.26073e-269,6,1.52324
