topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,ZSTD only,432,0.409858,0.0343125,4.24243e-05,12363.3,578.493,3.18238e-07,4963.47,162.03,1.58325e-05,6,2.45915
/os_cloud_node/points_decim_1,LZ4 only,432,0.532805,0.034433,1.25644e-05,11795.8,2886.85,0,1713.99,157.862,2.55897e-78,6,3.19683
/os_cloud_node/points_decim_1,Cloudini 0p0001,432,0.335179,0.00711218,0.0629905,4974.62,166.85,0,5460.45,124.226,0.443807,6,2.01107
/os_cloud_node/points_decim_1,Cloudini 0p001,432,0.300738,0.0044048,0.434573,4872.79,144.599,0,5364.96,98.1442,6.30546e-09,6,1.80443
/os_cloud_node/points_decim_1,Cloudini 0p01,432,0.284103,0.00327341,0.0495967,4366.4,134.701,0,5022.74,133.971,0,6,1.70462
/os_cloud_node/points_decim_1,Cloudini 0p1,432,0.273675,0.00371742,0.0073777,4336.14,120.368,0,4989.86,84.0634,0,6,1.64205
/os_cloud_node/points_decim_1,Cloudini 0p2,432,0.270435,0.00365985,0.00314004,4385.13,137.31,0,5011.99,88.8365,0,6,1.62261
/os_cloud_node/points_decim_1,Cloudini 0p5,432,0.265551,0.00339103,0.00184899,4240.62,112.261,0.848371,4931.37,76.578,3.47498e-07,6,1.5933
/os_cloud_node/points_decim_1,Cloudini-LZ4 0p0001,432,0.304482,0.017476,0.000112855,5594.61,187.761,0,8078.72,108.526,0.171699,6,1.82689
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p0001,432,0.268313,0.0165478,0.000166749,6311.04,215.988,0,7609.11,187.418,0,6,1.60988
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p001,432,0.23841,0.0131926,0.00035248,5996.16,135.85,0.897795,7377.94,139.695,0,6,1.43046
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p01,432,0.213512,0.0106757,0.000371217,5644.88,204.542,0,6939.99,111.658,0.0364689,6,1.28107
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p1,432,0.193804,0.00921908,0.00112343,6141.83,175.316,0.112145,6920.88,94.706,0.0457239,6,1.16282
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p2,432,0.188654,0.00897956,0.000822619,6301.71,170.762,0.00535935,6964.89,90.7107,0.000365798,6,1.13192
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p5,432,0.183482,0.00831646,0.000778414,6148.42,170.505,0.559143,6847.15,88.9137,1.0391e-16,6,1.10089
/os_cloud_node/points_decim_1,Draco 16,432,0.262422,0.00949524,0.00531344,46860.5,932.038,0.586541,23711.3,619.795,0.00070002,6,1.57453
/os_cloud_node/points_decim_1,Draco 16 + ZSTD,432,0.245219,0.0116726,0.0060288,53540.1,1589.99,0.125056,24933.8,645.742,0.00117417,6,1.47132
/os_cloud_node/points_decim_1,Draco 14,432,0.243576,0.00748169,0.0029113,48749.6,1849.03,0,24619.1,825.093,0.00365953,6,1.46145
/os_cloud_node/points_decim_1,Draco 14 + ZSTD,432,0.226994,0.00952062,0.0251157,55002.1,2249.58,0,25728.4,862.495,0.00777587,6,1.36197
/os_cloud_node/points_decim_1,Draco 12,432,0.232736,0.00614374,0.00669745,51003.8,1279.85,3.15001e-06,26069.8,1007.18,0.0111237,6,1.39641
/os_cloud_node/points_decim_1,Draco 12 + ZSTD,432,0.21334,0.00828332,0.034936,57495.7,1876.07,0.00670326,27190,1052.43,0.0219225,6,1.28004
/os_cloud_node/points_decim_1,Draco 10,432,0.228139,0.00556346,0.376146,52798.8,1104.97,9.81425e-07,27374.7,1053.68,4.64696e-05,6,1.36883
/os_cloud_node/points_decim_1,Draco 10 + ZSTD,432,0.20295,0.00768058,0.0410727,59759.1,1496.06,4.31608e-07,28541.4,1078.55,0.000126748,6,1.2177
/os_cloud_node/points_decim_1,Draco 8,432,0.227097,0.00536757,0.710073,53268.6,1073.98,1.81879e-07,28012.1,1158.45,3.30089e-05,6,1.36258
/os_cloud_node/points_decim_1,Draco 8 + ZSTD,432,0.194331,0.00752048,0.0417351,60385.5,1427.56,4.57567e-06,29194.2,1177.9,5.70385e-05,6,1.16598
/os_cloud_node/points_decim_1,Draco 6,432,0.227009,0.00535204,0.726543,53140,1073.99,1.87749e-05,28087.3,1234.38,5.17674e-05,6,1.36205
/os_cloud_node/points_decim_1,Draco 6 + ZSTD,432,0.185174,0.00703302,0.020411,60732.7,1441.95,0.0138805,29286.1,1258.58,7.01682e-05,6,1.11105
/os_cloud_node/points_decim_1,Draco sequential default quantization,432,0.430295,0.00391266,0.00539551,27129,515.575,0.99647,12942.5,365.228,0.759095,6,2.58177
/os_cloud_node/points_decim_1,voxel 0.010000,0,0,0,1,0,0,1,0,0,1,0,0
/os_cloud_node/points_decim_1,voxel 0.020000,0,0,0,1,0,0,1,0,0,1,0,0
/os_cloud_node/points_decim_1,voxel 0.050000,349,0.573658,0.0580956,0.858875,5496.52,412.71,0.00210904,0,0,1,3.625,2.07951
