topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,ZSTD only,399,0.422588,0.00640468,8.30326e-96,12719.7,250.655,2.04953e-11,4973.51,70.2712,0,6,2.53553
/os_cloud_node/points_decim_1,LZ4 only,399,0.550603,0.00725629,8.54271e-21,13004.2,1620.57,2.12336e-174,1826.13,148.112,2.00618e-147,6,3.30362
/os_cloud_node/points_decim_1,Cloudini 0p0001,399,0.342198,0.00300187,1.25889e-292,5106.64,533.77,0,5626.14,302.509,0,6,2.05319
/os_cloud_node/points_decim_1,Cloudini 0p001,399,0.306775,0.00248491,0,5042.69,699.688,0,5556.3,261.698,0,6,1.84065
/os_cloud_node/points_decim_1,Cloudini 0p01,399,0.288928,0.00203962,1.76184e-311,4484.37,119.545,0.00014429,5169.37,272.989,0,6,1.73357
/os_cloud_node/points_decim_1,Cloudini 0p1,399,0.278934,0.0017885,0,4572.99,522.107,0,5193.95,274.424,0,6,1.6736
/os_cloud_node/points_decim_1,Cloudini 0p2,399,0.275441,0.00186862,1.39198e-189,4616.01,525.126,0,5221.28,281.315,0,6,1.65265
/os_cloud_node/points_decim_1,Cloudini 0p5,399,0.269973,0.00201876,1.36214e-116,4435.02,143.594,1.78634e-10,5119.13,278.035,0,6,1.61984
/os_cloud_node/points_decim_1,Cloudini-LZ4 0p0001,399,0.316114,0.00343914,1.90864e-06,5777.27,317.811,0,8229.21,128.598,2.0892e-15,6,1.89669
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p0001,399,0.278832,0.00362563,2.16936e-13,6252.4,145.94,1.8854e-07,7792.29,291.891,0,6,1.67299
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p001,399,0.247742,0.00313108,2.23513e-49,6132.29,442.733,0,7588,274.643,0,6,1.48645
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p01,399,0.221262,0.00266041,1.22198e-98,5664.77,117.64,0.00097428,7128.33,277.474,0,6,1.32757
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p1,399,0.200524,0.00254792,2.87497e-171,6249.7,337.084,0,7167.88,280.175,0,6,1.20315
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p2,399,0.194993,0.00235435,3.3309e-132,6352.61,127.769,0,7208.75,291.201,0,6,1.16996
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p5,399,0.18971,0.00217402,1.34737e-125,6225.4,509.752,0,7063.17,325.391,0,6,1.13826
/os_cloud_node/points_decim_1,Draco 16,399,0.28182,0.00687462,0.000387559,47862.8,846.352,0.0178251,23289.7,387.309,5.10736e-111,6,1.69092
/os_cloud_node/points_decim_1,Draco 16 + ZSTD,399,0.263041,0.00638157,0.000313607,55062.7,996.457,0.826572,24633.3,396.671,1.36716e-78,6,1.57825
/os_cloud_node/points_decim_1,Draco 14,399,0.258259,0.00539023,1.00615e-06,47206.5,1032.36,2.6877e-06,23725.8,499.3,2.08718e-06,6,1.54955
/os_cloud_node/points_decim_1,Draco 14 + ZSTD,399,0.24096,0.00541645,1.36843e-07,53802.9,1181.07,0.0355166,24905.9,496.353,2.31227e-05,6,1.44576
/os_cloud_node/points_decim_1,Draco 12,399,0.243491,0.00446153,3.21511e-92,49611.5,1081.28,0.659967,25011.3,651.215,0.31887,6,1.46094
/os_cloud_node/points_decim_1,Draco 12 + ZSTD,399,0.224868,0.00481061,4.48652e-23,56084.8,1323.26,0.0399841,26158.4,673.828,0.53375,6,1.34921
/os_cloud_node/points_decim_1,Draco 10,399,0.236927,0.00425837,1.49653e-242,51770.9,1012.48,6.8498e-09,26343.9,637.377,0.0014173,6,1.42156
/os_cloud_node/points_decim_1,Draco 10 + ZSTD,399,0.213206,0.00446496,3.67863e-36,58590.4,1302.5,1.03718e-09,27550.2,670.129,3.3965e-05,6,1.27924
/os_cloud_node/points_decim_1,Draco 8,399,0.235676,0.00432302,2.98568e-264,52499.4,974.902,1.54165e-17,26975.5,562.418,5.15472e-20,6,1.41406
/os_cloud_node/points_decim_1,Draco 8 + ZSTD,399,0.20418,0.00431642,3.35466e-53,59606.8,1233.8,1.25862e-11,28206,583.21,2.69713e-20,6,1.22508
/os_cloud_node/points_decim_1,Draco 6,399,0.235615,0.00433093,2.19887e-263,52364.1,919.748,9.76648e-10,26999.3,554.309,5.75972e-12,6,1.41369
/os_cloud_node/points_decim_1,Draco 6 + ZSTD,399,0.194026,0.004337,4.26019e-50,59698.6,1155.08,1.15257e-06,28246.1,577.264,2.42993e-13,6,1.16416
/os_cloud_node/points_decim_1,Draco sequential default quantization,399,0.434504,0.00125749,1.4482e-110,27631.8,549.893,7.97456e-214,13169,222.958,2.67483e-149,6,2.60703
/os_cloud_node/points_decim_1,voxel 0.010000,0,0,0,1,0,0,1,0,0,1,0,0
/os_cloud_node/points_decim_1,voxel 0.020000,0,0,0,1,0,0,1,0,0,1,0,0
/os_cloud_node/points_decim_1,voxel 0.050000,328,0.585126,0.052323,2.05795e-34,5436.38,220.349,0,0,0,1,3.625,2.12108
/os_cloud_node/points_decim_1,voxel 0.100000,392,0.412468,0.0548891,7.8755e-12,5089.11,205.243,0,0,0,1,3.625,1.4952
/os_cloud_node/points_decim_1,voxel 0.200000,399,0.235454,0.0308577,3.87945e-18,4533.81,204.748,0.0537655,0,0,1,3.625,0.853519
/os_cloud_node/points_decim_1,voxel 0.500000,399,0.077868,0.0079367,1.59088e-270,3613.09,168.335,8.83464e-07,0,0,1,3.625,0.282271
/os_cloud_node/points_decim_1,uniform 0.010000,399,0.752302,0.0158169,0.0167821,14219.1,336.06,0.0398259,0,0,1,3.625,2.7271
/os_cloud_node/points_decim_1,uniform 0.020000,399,0.725601,0.0185942,8.82881e-98,13735.6,413.808,5.1829e-181,0,0,1,3.625,2.6303
/os_cloud_node/points_decim_1,uniform 0.050000,399,0.585829,0.0503347,1.43284e-44,11002.8,545.777,5.16184e-12,0,0,1,3.625,2.12363
/os_cloud_node/points_decim_1,uniform 0.100000,399,0.412483,0.0547644,6.85256e-12,9272.81,575.962,1.15882e-41,0,0,1,3.625,1.49525
/os_cloud_node/points_decim_1,uniform 0.200000,399,0.235454,0.0308577,3.87945e-18,7116.95,316.777,8.24398e-57,0,0,1,3.625,0.853519
/os_cloud_node/points_decim_1,uniform 0.500000,399,0.077868,0.0079367,1.59088e-270,5435.74,141.894,0.000276259,0,0,1,3.625,0.282271
/os_cloud_node/points_decim_1,random 0.100000,399,0.0999985,0,1,1771.26,31.5038,1.07584e-10,0,0,1,3.625,0.362494
/os_cloud_node/points_decim_1,random 0.200000,399,0.199997,0,1,1918.73,52.516,0,0,0,1,3.625,0.724989
/os_cloud_node/points_decim_1,random 0.300000,399,0.299995,0,1,2105.1,48.0392,1.87011e-09,0,0,1,3.625,1.08748
/os_cloud_node/points_decim_1,random 0.400000,399,0.399994,0,1,2313.25,127.184,0,0,0,1,3.625,1.44998
/os_cloud_node/points_decim_1,random 0.600000,399,0.599998,0,1,2482.33,151.362,0,0,0,1,3.625,2.17499
/os_cloud_node/points_decim_1,random 0.800000,399,0.799995,0,1,2354.54,111.524,0,0,0,1,3.625,2.89998
