topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,ZSTD only,238,0.434865,0.0141441,2.40538e-16,15165.7,670.9,2.69783e-20,5258.27,104.351,5.05626e-24,6,2.60919
/os_cloud_node/points_decim_1,LZ4 only,238,0.547176,0.0163109,4.33466e-10,25705.3,5444.32,9.72511e-34,2433.79,279.661,5.9666e-57,6,3.28306
/os_cloud_node/points_decim_1,Cloudini 0p0001,238,0.299412,0.0126851,6.50375e-27,4733.95,201.292,0.0427548,5230.91,157.314,0.0012286,6,1.79647
/os_cloud_node/points_decim_1,Cloudini 0p001,238,0.273848,0.00839887,3.03589e-48,4586.74,133.934,0,5122.32,80.0302,8.63797e-15,6,1.64309
/os_cloud_node/points_decim_1,Cloudini 0p01,238,0.261188,0.00784251,6.14989e-44,4072.32,208.171,0,4782.8,108.031,1.16669e-07,6,1.56713
/os_cloud_node/points_decim_1,Cloudini 0p1,238,0.253201,0.00826836,3.02678e-50,4315.26,113.489,0,4915.93,69.0491,1.26606e-09,6,1.5192
/os_cloud_node/points_decim_1,Cloudini 0p2,238,0.249123,0.00879751,3.28709e-50,4337.66,136.199,0,4930.73,78.7438,9.39642e-22,6,1.49474
/os_cloud_node/points_decim_1,Cloudini 0p5,238,0.243254,0.00886436,3.93349e-46,4031.21,212.362,3.49553e-27,4758.24,143.5,1.32809e-35,6,1.45952
/os_cloud_node/points_decim_1,Cloudini-LZ4 0p0001,238,0.283465,0.014821,8.66731e-29,5530.36,238.679,0,7925.07,175.928,0,6,1.70079
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p0001,238,0.249115,0.0128456,1.37828e-21,5965.06,214.505,2.59472e-84,7139.41,222.059,0.000472355,6,1.49469
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p001,238,0.214933,0.0117982,1.21362e-27,5747.89,120.478,3.56452e-85,6840.21,125.437,1.63174e-05,6,1.2896
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p01,238,0.187414,0.0119177,2.10538e-24,5944.13,326.835,0.0247435,6622.62,149.935,1.49903e-216,6,1.12448
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p1,238,0.166325,0.0111445,1.51395e-30,6833.18,111,3.80707e-06,6966.85,142.462,0,6,0.997949
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p2,238,0.163466,0.0108474,4.05653e-31,6702.18,153.12,0,6911.24,99.135,0.0183018,6,0.980797
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p5,238,0.159995,0.0106163,9.34319e-32,6307.63,166.848,3.6285e-22,6633.9,197.187,0,6,0.95997
/os_cloud_node/points_decim_1,Draco 16,238,0.278584,0.0115302,3.63241e-10,45688.1,869.155,0.0325514,23058.1,564.442,0.0566331,6,1.6715
/os_cloud_node/points_decim_1,Draco 16 + ZSTD,238,0.259623,0.0101369,8.1395e-09,50700.6,1017.24,6.87457e-09,24272.9,606.973,0.394267,6,1.55774
/os_cloud_node/points_decim_1,Draco 14,238,0.241116,0.00869322,1.13204e-09,45883.8,765.274,0.0229019,22654.6,527.581,8.28013e-06,6,1.4467
/os_cloud_node/points_decim_1,Draco 14 + ZSTD,238,0.225475,0.00834244,2.98522e-06,50226.9,921.584,5.29321e-10,23679.4,560.675,0.000141868,6,1.35285
/os_cloud_node/points_decim_1,Draco 12,238,0.211133,0.00720309,0.992372,46169.6,817.076,3.9941e-06,22478.5,549.103,1.07441e-16,6,1.2668
/os_cloud_node/points_decim_1,Draco 12 + ZSTD,238,0.196985,0.00743801,0.891815,50300.7,1082.52,1.25442e-06,23331.1,578.54,1.34534e-13,6,1.18191
/os_cloud_node/points_decim_1,Draco 10,238,0.190556,0.00960723,1.3109e-26,46485.4,1345.02,9.44075e-30,22442.4,867.731,4.11452e-40,6,1.14334
/os_cloud_node/points_decim_1,Draco 10 + ZSTD,238,0.176245,0.00917701,3.40176e-23,50887.8,1615.4,2.53151e-26,23141.6,948.774,2.75715e-39,6,1.05747
/os_cloud_node/points_decim_1,Draco 8,238,0.18011,0.0126765,4.705e-36,46971.9,1476.37,2.29545e-21,22680.8,1073.2,1.93152e-33,6,1.08066
