topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/os_cloud_node/points_decim_1,ZSTD only,283,0.482472,0.0131236,9.63996e-29,14913.5,1829.24,0,5388.83,142.298,0,6,2.89483
/os_cloud_node/points_decim_1,LZ4 only,283,0.601882,0.0136007,6.25618e-40,21555.5,2796.34,7.60556e-221,2016.71,140.112,4.82981e-175,6,3.61129
/os_cloud_node/points_decim_1,Cloudini 0p0001,283,0.337094,0.0128575,4.62972e-17,4957.28,265.832,0,5414.12,112.507,0.25755,6,2.02256
/os_cloud_node/points_decim_1,Cloudini 0p001,283,0.299092,0.00998269,8.33259e-15,4535.25,96.6346,0.0767516,5135.48,95.1986,0,6,1.79455
/os_cloud_node/points_decim_1,Cloudini 0p01,283,0.283484,0.00874841,1.72857e-14,4230.66,144.053,0,4914.28,95.975,0.0578131,6,1.7009
/os_cloud_node/points_decim_1,Cloudini 0p1,283,0.27663,0.0093179,1.62868e-14,4255.74,113.025,0,4927.17,101.869,0,6,1.65978
/os_cloud_node/points_decim_1,Cloudini 0p2,283,0.273696,0.00995202,1.12049e-14,4361.24,94.9704,0.939808,4988.71,86.0908,2.69199e-79,6,1.64217
/os_cloud_node/points_decim_1,Cloudini 0p5,283,0.267814,0.00988244,3.27162e-14,4413.14,219.458,3.68692e-245,5017.42,156.675,0,6,1.60688
/os_cloud_node/points_decim_1,Cloudini-LZ4 0p0001,283,0.328841,0.0152182,1.00552e-18,5563.72,177.81,0,7967.45,101.547,2.37856e-152,6,1.97304
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p0001,283,0.29088,0.01325,4.69345e-18,6022.39,131.776,5.54627e-164,7390.5,137.273,0.908852,6,1.74528
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p001,283,0.252563,0.0124871,3.16662e-17,5566.27,118.238,5.55568e-69,6974.8,128.395,0,6,1.51538
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p01,283,0.224549,0.0123912,1.4554e-19,5337.14,115.191,0,6647.34,113.797,0.787435,6,1.34729
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p1,283,0.201621,0.012325,1.62758e-17,6110.71,203.886,0.00569819,6834.75,247.788,0,6,1.20973
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p2,283,0.197264,0.0118417,1.55997e-17,6254.38,182.137,0.854209,6921.5,109.211,0.808512,6,1.18358
/os_cloud_node/points_decim_1,Cloudini-ZSTD 0p5,283,0.192181,0.011318,1.17777e-17,5921.55,147.428,0.140826,6844.22,144.416,0.013959,6,1.15309
/os_cloud_node/points_decim_1,Draco 16,283,0.291129,0.0128634,1.89913e-08,44793,768.571,0.727472,22662.1,367.274,6.35774e-10,6,1.74677
/os_cloud_node/points_decim_1,Draco 16 + ZSTD,283,0.278839,0.0139223,9.86156e-11,49605.7,856.039,0.993768,23919.8,369.371,1.04799e-07,6,1.67303
/os_cloud_node/points_decim_1,Draco 14,283,0.261316,0.0145816,2.20015e-12,45643.6,733.797,2.51076e-98,22751.7,478.387,4.85003e-35,6,1.5679
/os_cloud_node/points_decim_1,Draco 14 + ZSTD,283,0.250062,0.0152458,3.22806e-13,49959.1,807.215,3.34125e-246,23770.6,495.003,4.2251e-33,6,1.50037
