topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/ouster/points_decim_1,ZSTD only,365,0.701489,0.0233295,0,14321,3396.18,9.57486e-57,3591.17,602.252,3.44829e-98,1.8125,1.27145
/ouster/points_decim_1,LZ4 only,365,0.877261,0.0252123,0,10542,2795.4,7.26527e-74,1566.1,443.745,1.01315e-59,1.8125,1.59003
/ouster/points_decim_1,Cloudini 0p0001,365,0.542203,0.00657759,0,2727.13,113,9.37506e-111,2904.75,93.1339,6.55659e-89,1.8125,0.982744
/ouster/points_decim_1,Cloudini 0p001,365,0.48329,0.00554071,0,2589.07,101.413,0,2875.99,50.2236,6.28601e-17,1.8125,0.875962
/ouster/points_decim_1,Cloudini 0p01,365,0.445746,0.00420853,0,2229.08,66.4228,5.26563e-16,2606.85,49.79,0.852432,1.8125,0.807914
/ouster/points_decim_1,Cloudini 0p1,365,0.424722,0.0032994,0,2248.68,66.1559,2.17356e-317,2607.37,58.5665,0,1.8125,0.769808
/ouster/points_decim_1,Cloudini 0p2,365,0.418232,0.00310736,0,2272.67,71.0578,6.75881e-219,2608.54,80.0039,0,1.8125,0.758045
/ouster/points_decim_1,Cloudini 0p5,365,0.409546,0.00292631,0,2194.67,68.5812,1.77287e-21,2557.04,41.6249,0.781497,1.8125,0.742303
/ouster/points_decim_1,Cloudini-LZ4 0p0001,365,0.522894,0.0133364,0,4909.4,646.411,1.93824e-81,4416.18,460.244,2.62719e-117,1.8125,0.947746
/ouster/points_decim_1,Cloudini-ZSTD 0p0001,365,0.461573,0.0119173,0,4327.14,347.985,1.96795e-32,4360.9,254.229,1.14625e-187,1.8125,0.836602
/ouster/points_decim_1,Cloudini-ZSTD 0p001,365,0.405522,0.0104686,0,3265.14,134.461,0.0039121,3688.12,63.5727,8.7751e-312,1.8125,0.735009
/ouster/points_decim_1,Cloudini-ZSTD 0p01,365,0.355837,0.00883292,0,2894.84,142.198,2.27786e-05,3340.02,52.5017,3.306e-07,1.8125,0.644955
/ouster/points_decim_1,Cloudini-ZSTD 0p1,365,0.316375,0.0077005,0,2895.97,173.528,0,3284.34,67.0269,0,1.8125,0.57343
/ouster/points_decim_1,Cloudini-ZSTD 0p2,365,0.307124,0.00740497,0,2948.92,230.506,0,3272.52,65.8259,0,1.8125,0.556662
/ouster/points_decim_1,Cloudini-ZSTD 0p5,365,0.294868,0.00694143,0,2904.12,150.235,0,3211.61,46.6468,0.00220983,1.8125,0.534449
/ouster/points_decim_1,Draco 16,365,0.455096,0.0108832,0,25601,679.693,0.00249667,13153.1,368.424,0,1.8125,0.824861
/ouster/points_decim_1,Draco 16 + ZSTD,365,0.433488,0.0107633,0,27965.7,730.885,3.42893e-13,13600,391.303,0,1.8125,0.785698
/ouster/points_decim_1,Draco 14,365,0.422882,0.00994943,0,26119.6,586.902,1.20551e-181,13805.5,395.244,0,1.8125,0.766473
