topic,method,samples,ratio_mean,ratio_std,ratio_p_value,time_mean_usec,time_std_usec,time_p_value,decompress_mean_usec,decompress_std_usec,decompress_p_value,uncompressed_MB_mean,compressed_MB_mean
/ouster/points_decim_1,ZSTD only,2409,0.679349,0.0538081,1.00936e-22,5537.59,3180.43,0,1935.79,602.748,0,1.8125,1.23132
/ouster/points_decim_1,LZ4 only,2409,0.860898,0.0510436,3.65235e-41,3393.79,2990.12,0,518.535,469.383,0,1.8125,1.56038
/ouster/points_decim_1,Cloudini 0p0001,2409,0.5383,0.00888386,0,2535.71,217.17,0,2843.51,202.948,0,1.8125,0.975669
/ouster/points_decim_1,Cloudini 0p001,2409,0.482219,0.00794738,1.01417e-75,2610.95,297.218,0,2910.11,269.914,0,1.8125,0.874023
/ouster/points_decim_1,Cloudini 0p01,2409,0.443726,0.00498176,0,2222.39,297.511,0,2617.91,245.308,0,1.8125,0.804254
/ouster/points_decim_1,Cloudini 0p1,2409,0.422652,0.00426045,0,2238.42,158.807,0,2619.65,193.863,0,1.8125,0.766056
/ouster/points_decim_1,Cloudini 0p2,2409,0.415712,0.00407377,0,2242.16,212.081,0,2608.24,205.929,0,1.8125,0.753479
/ouster/points_decim_1,Cloudini 0p5,2409,0.406824,0.00372861,0,2128.8,211.123,0,2526.57,176.537,0,1.8125,0.737369
/ouster/points_decim_1,Cloudini-LZ4 0p0001,2409,0.51477,0.0191678,0,3138.64,692.666,0,3257.31,561.154,0,1.8125,0.933021
/ouster/points_decim_1,Cloudini-ZSTD 0p0001,2409,0.453492,0.0195,1.21525e-231,3548.72,440.92,0,3793.31,357.587,0,1.8125,0.821954
/ouster/points_decim_1,Cloudini-ZSTD 0p001,2409,0.399588,0.0153749,0,3308.7,254.497,0,3740.53,291.857,0,1.8125,0.724253
/ouster/points_decim_1,Cloudini-ZSTD 0p01,2409,0.350783,0.0118072,0,2949.12,328.18,0,3378.98,306.609,0,1.8125,0.635794
/ouster/points_decim_1,Cloudini-ZSTD 0p1,2409,0.311598,0.00992118,0,2942.97,295.61,0,3325.35,285.084,0,1.8125,0.564772
/ouster/points_decim_1,Cloudini-ZSTD 0p2,2409,0.302577,0.00934591,0,2967.9,281.666,0,3301.04,282.033,0,1.8125,0.548421
/ouster/points_decim_1,Cloudini-ZSTD 0p5,2409,0.290516,0.00869158,0,2915.98,284.309,0,3210.25,241.831,0,1.8125,0.526561
/ouster/points_decim_1,Draco 16,2409,0.453007,0.0139211,0,26963.9,1420.8,0,13786.6,841.025,0,1.8125,0.821076
/ouster/points_decim_1,Draco 16 + ZSTD,2409,0.429084,0.0168326,0,29520.7,1655.09,0,14328.8,878.976,0,1.8125,0.777714
/ouster/points_decim_1,Draco 14,2409,0.421506,0.0107689,0,27291.2,1228.39,0,14574,989.053,0,1.8125,0.763979
/ouster/points_decim_1,Draco 14 + ZSTD,2409,0.395003,0.0134424,0,29691.2,1456.3,0,14984.4,1032.06,0,1.8125,0.715942
/ouster/points_decim_1,Draco 12,2409,0.406043,0.0109622,0,28312.3,1469.47,0,15281.6,1030.67,0,1.8125,0.735953
/ouster/points_decim_1,Draco 12 + ZSTD,2409,0.372423,0.0125362,0,30908.1,1763.61,0,15722.7,1082.4,0,1.8125,0.675017
/ouster/points_decim_1,Draco 10,2409,0.400443,0.0125371,0,28812.7,1409.68,0,15716.5,1047.68,0,1.8125,0.725803
/ouster/points_decim_1,Draco 10 + ZSTD,2409,0.35723,0.0130439,0,31868.1,1820.7,0,16278.5,1101.89,0,1.8125,0.64748
/ouster/points_decim_1,Draco 8,2409,0.399237,0.0132339,0,29078.8,1372.99,0,15934.8,1085.98,0,1.8125,0.723616
/ouster/points_decim_1,Draco 8 + ZSTD,2409,0.343006,0.0131694,0,32363.8,1786.16,0,16607.9,1120.21,0,1.8125,0.621698
/ouster/points_decim_1,Draco 6,2409,0.39914,0.0133262,0,29297.8,1558.41,0,16038.3,1001.75,0,1.8125,0.723441
/ouster/points_decim_1,Draco 6 + ZSTD,2409,0.326215,0.0127165,0,32966.9,1984.88,0,16742.2,1023.63,0,1.8125,0.591265
