method,slam_method,Sequence,Compression,ATERMS,ATEMAX
cloudini,SPARK-FAST-LIO,maths_easy,NA,0.10,0.43
cloudini,SPARK-FAST-LIO,quad_easy,NA,0.07,0.18
cloudini,SPARK-FAST-LIO,colosseo,NA,3.18,7.30
cloudini,SPARK-FAST-LIO,pincio,NA,2.43,4.66
cloudini,SPARK-FAST-LIO,maths_easy,0.001,0.10,0.43
cloudini,SPARK-FAST-LIO,quad_easy,0.001,0.07,0.18
cloudini,SPARK-FAST-LIO,colosseo,0.001,3.19,7.36
cloudini,SPARK-FAST-LIO,pincio,0.001,2.29,4.38
cloudini,SPARK-FAST-LIO,maths_easy,0.01,0.10,0.43
cloudini,SPARK-FAST-LIO,quad_easy,0.01,0.07,0.18
cloudini,SPARK-FAST-LIO,colosseo,0.01,3.11,7.25
cloudini,SPARK-FAST-LIO,pincio,0.01,2.19,4.25
cloudini,SPARK-FAST-LIO,maths_easy,0.1,0.11,0.43
cloudini,SPARK-FAST-LIO,quad_easy,0.1,0.07,0.18
cloudini,SPARK-FAST-LIO,colosseo,0.1,2.54,6.00
cloudini,SPARK-FAST-LIO,pincio,0.1,2.13,4.19
cloudini,SPARK-FAST-LIO,maths_easy,0.2,0.11,0.41
cloudini,SPARK-FAST-LIO,quad_easy,0.2,0.07,0.18
cloudini,SPARK-FAST-LIO,colosseo,0.2,1.95,4.53
cloudini,SPARK-FAST-LIO,pincio,0.2,1.37,2.71
cloudini,SPARK-FAST-LIO,maths_easy,0.5,0.21,0.57
cloudini,SPARK-FAST-LIO,quad_easy,0.5,0.09,0.26
cloudini,SPARK-FAST-LIO,colosseo,0.5,2.52,6.71
cloudini,SPARK-FAST-LIO,pincio,0.5,0.45,0.75
cloudini,SPARK-FAST-LIO,underground_easy,NA,0.23,0.89
cloudini,SPARK-FAST-LIO,cloister,NA,0.06,0.16
cloudini,SPARK-FAST-LIO,campus,NA,1.36,3.27
cloudini,SPARK-FAST-LIO,spagna,NA,1.53,3.16
cloudini,SPARK-FAST-LIO,underground_easy,0.001,0.23,0.89
cloudini,SPARK-FAST-LIO,cloister,0.001,0.06,0.15
cloudini,SPARK-FAST-LIO,campus,0.001,1.32,3.11
cloudini,SPARK-FAST-LIO,spagna,0.001,1.50,3.13
cloudini,SPARK-FAST-LIO,underground_easy,0.01,0.23,0.89
cloudini,SPARK-FAST-LIO,cloister,0.01,0.06,0.16
cloudini,SPARK-FAST-LIO,campus,0.01,1.35,3.34
cloudini,SPARK-FAST-LIO,spagna,0.01,1.51,3.17
cloudini,SPARK-FAST-LIO,underground_easy,0.1,0.23,0.89
cloudini,SPARK-FAST-LIO,cloister,0.1,0.07,0.19
cloudini,SPARK-FAST-LIO,campus,0.1,1.32,2.92
cloudini,SPARK-FAST-LIO,spagna,0.1,1.59,3.26
cloudini,SPARK-FAST-LIO,underground_easy,0.2,0.23,0.89
cloudini,SPARK-FAST-LIO,cloister,0.2,0.10,0.39
cloudini,SPARK-FAST-LIO,campus,0.2,0.94,2.00
cloudini,SPARK-FAST-LIO,spagna,0.2,1.80,3.44
cloudini,SPARK-FAST-LIO,underground_easy,0.5,0.26,0.90
cloudini,SPARK-FAST-LIO,cloister,0.5,0.76,2.60
cloudini,SPARK-FAST-LIO,campus,0.5,8.93,16.28
cloudini,SPARK-FAST-LIO,spagna,0.5,1.80,3.44
cloudini,SPARK-FAST-LIO,stairs,NA,0.08,0.18
cloudini,SPARK-FAST-LIO,park,NA,0.29,0.56
cloudini,SPARK-FAST-LIO,diag,NA,0.74,1.54
cloudini,SPARK-FAST-LIO,ciampino,NA,4.94,11.54
cloudini,SPARK-FAST-LIO,stairs,0.001,0.10,0.24
cloudini,SPARK-FAST-LIO,park,0.001,0.30,0.58
cloudini,SPARK-FAST-LIO,diag,0.001,0.90,1.77
cloudini,SPARK-FAST-LIO,ciampino,0.001,5.09,12.03
cloudini,SPARK-FAST-LIO,stairs,0.01,0.12,0.25
cloudini,SPARK-FAST-LIO,park,0.01,0.29,0.57
cloudini,SPARK-FAST-LIO,diag,0.01,0.90,1.78
cloudini,SPARK-FAST-LIO,ciampino,0.01,5.04,13.35
cloudini,SPARK-FAST-LIO,stairs,0.1,0.10,0.23
cloudini,SPARK-FAST-LIO,park,0.1,0.30,0.56
cloudini,SPARK-FAST-LIO,diag,0.1,0.70,1.64
cloudini,SPARK-FAST-LIO,ciampino,0.1,4.93,12.61
cloudini,SPARK-FAST-LIO,stairs,0.2,448.24,2111.26
cloudini,SPARK-FAST-LIO,park,0.2,0.29,0.64
cloudini,SPARK-FAST-LIO,diag,0.2,0.56,1.24
cloudini,SPARK-FAST-LIO,ciampino,0.2,3.08,13.35
cloudini,SPARK-FAST-LIO,stairs,0.5,40.74,190.48
cloudini,SPARK-FAST-LIO,park,0.5,0.40,0.94
cloudini,SPARK-FAST-LIO,diag,0.5,5.15,9.80
cloudini,SPARK-FAST-LIO,ciampino,0.5,32.80,84.35
draco,SPARK-FAST-LIO,maths_easy,NA,0.10,0.43
draco,SPARK-FAST-LIO,quad_easy,NA,0.07,0.18
draco,SPARK-FAST-LIO,colosseo,NA,3.18,7.30
draco,SPARK-FAST-LIO,pincio,NA,2.43,4.66
draco,SPARK-FAST-LIO,maths_easy,14.00,0.15,0.42
draco,SPARK-FAST-LIO,quad_easy,14,0.08,0.18
draco,SPARK-FAST-LIO,colosseo,14,3.54,8.56
draco,SPARK-FAST-LIO,pincio,14,1.68,3.25
draco,SPARK-FAST-LIO,maths_easy,12.00,0.14,0.41
draco,SPARK-FAST-LIO,quad_easy,12,0.08,0.19
draco,SPARK-FAST-LIO,colosseo,12,3.50,8.19
draco,SPARK-FAST-LIO,pincio,12,1.60,3.12
draco,SPARK-FAST-LIO,maths_easy,10.00,0.17,0.44
draco,SPARK-FAST-LIO,quad_easy,10,0.08,0.20
draco,SPARK-FAST-LIO,colosseo,10,2.96,7.16
draco,SPARK-FAST-LIO,pincio,10,2.17,4.21
draco,SPARK-FAST-LIO,maths_easy,8.00,0.29,0.59
draco,SPARK-FAST-LIO,quad_easy,8,0.08,0.20
draco,SPARK-FAST-LIO,colosseo,8,3.11,6.59
draco,SPARK-FAST-LIO,pincio,8,0.38,0.99
draco,SPARK-FAST-LIO,maths_easy,6.00,0.99,2.56
draco,SPARK-FAST-LIO,quad_easy,6,0.24,1.48
draco,SPARK-FAST-LIO,colosseo,6,538335794.96,839309676.98
draco,SPARK-FAST-LIO,pincio,6,1.06,6.60
draco,SPARK-FAST-LIO,underground_easy,NA,0.23,0.89
draco,SPARK-FAST-LIO,cloister,NA,0.06,0.16
draco,SPARK-FAST-LIO,campus,NA,1.36,3.27
draco,SPARK-FAST-LIO,spagna,NA,1.53,3.16
draco,SPARK-FAST-LIO,underground_easy,14.00,0.23,0.89
draco,SPARK-FAST-LIO,cloister,14,0.14,0.55
draco,SPARK-FAST-LIO,campus,14,1.27,2.92
draco,SPARK-FAST-LIO,spagna,14,1.56,3.20
draco,SPARK-FAST-LIO,underground_easy,12.00,0.23,0.88
draco,SPARK-FAST-LIO,cloister,12,0.12,0.49
draco,SPARK-FAST-LIO,campus,12,1.32,2.88
draco,SPARK-FAST-LIO,spagna,12,1.48,3.15
draco,SPARK-FAST-LIO,underground_easy,10.00,0.23,0.88
draco,SPARK-FAST-LIO,cloister,10,0.14,0.58
draco,SPARK-FAST-LIO,campus,10,1.16,2.46
draco,SPARK-FAST-LIO,spagna,10,1.25,2.66
draco,SPARK-FAST-LIO,underground_easy,8.00,0.23,0.88
draco,SPARK-FAST-LIO,cloister,8,0.26,1.19
