data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size,slam_method,rmse,mean,median,std,min,max,sse
campus,cloudini,11034365747.0,,,0.001,,LOAM,1.72,,,,,4.77,
campus,cloudini,11034365747.0,,,0.001,,SPARK-FAST-LIO,1.32,,,,,3.11,
campus,cloudini,11034365747.0,,,0.001,,,,,,,,,
campus,cloudini,10153246387.0,,,0.01,,LOAM,1.58,,,,,4.25,
campus,cloudini,10153246387.0,,,0.01,,SPARK-FAST-LIO,1.35,,,,,3.34,
campus,cloudini,10153246387.0,,,0.01,,,,,,,,,
campus,cloudini,9670856743.0,,,0.1,,LOAM,1.15,,,,,2.74,
campus,cloudini,9670856743.0,,,0.1,,SPARK-FAST-LIO,1.32,,,,,2.92,
campus,cloudini,9670856743.0,,,0.1,,,,,,,,,
campus,cloudini,9511991507.0,,,0.2,,LOAM,1.11,,,,,2.43,
campus,cloudini,9511991507.0,,,0.2,,SPARK-FAST-LIO,0.94,,,,,2.0,
campus,cloudini,9511991507.0,,,0.2,,,,,,,,,
campus,cloudini,9308515399.0,,,0.5,,LOAM,103.17,,,,,300.66,
campus,cloudini,9308515399.0,,,0.5,,SPARK-FAST-LIO,8.93,,,,,16.28,
campus,cloudini,9308515399.0,,,0.5,,,,,,,,,
campus,draco,9552335394.0,10.0,10.0,6.0,,LOAM,220.46,,,,,474.62,
campus,draco,9552335394.0,10.0,10.0,6.0,,SPARK-FAST-LIO,13.68,,,,,45.73,
campus,draco,9552335394.0,10.0,10.0,6.0,,,,,,,,,
campus,draco,9552981246.0,10.0,10.0,8.0,,LOAM,36.85,,,,,104.64,
campus,draco,9552981246.0,10.0,10.0,8.0,,SPARK-FAST-LIO,0.99,,,,,2.45,
campus,draco,9552981246.0,10.0,10.0,8.0,,,,,,,,,
campus,draco,9573501114.0,10.0,10.0,10.0,,LOAM,1.46,,,,,3.93,
campus,draco,9573501114.0,10.0,10.0,10.0,,SPARK-FAST-LIO,1.16,,,,,2.46,
campus,draco,9573501114.0,10.0,10.0,10.0,,,,,,,,,
campus,draco,9702617490.0,10.0,10.0,12.0,,LOAM,1.7,,,,,4.86,
campus,draco,9702617490.0,10.0,10.0,12.0,,SPARK-FAST-LIO,1.32,,,,,2.88,
campus,draco,9702617490.0,10.0,10.0,12.0,,,,,,,,,
campus,draco,10054145602.0,10.0,10.0,14.0,,LOAM,1.45,,,,,4.18,
campus,draco,10054145602.0,10.0,10.0,14.0,,SPARK-FAST-LIO,1.27,,,,,2.92,
campus,draco,10054145602.0,10.0,10.0,14.0,,,,,,,,,
campus,uncompressed,22891490959.0,,,,,LOAM,1.62,,,,,4.5,
campus,uncompressed,22891490959.0,,,,,LOAM,1.62,,,,,4.5,
campus,uncompressed,22891490959.0,,,,,SPARK-FAST-LIO,1.36,,,,,3.27,
campus,uncompressed,22891490959.0,,,,,SPARK-FAST-LIO,1.36,,,,,3.27,
campus,uncompressed,22891490959.0,,,,,,,,,,,,
ciampino,cloudini,28469449869.0,,,0.001,,LOAM,5.9,,,,,16.35,
ciampino,cloudini,28469449869.0,,,0.001,,SPARK-FAST-LIO,5.09,,,,,12.03,
ciampino,cloudini,28469449869.0,,,0.001,,,,,,,,,
ciampino,cloudini,26274598077.0,,,0.01,,LOAM,5.88,,,,,16.4,
ciampino,cloudini,26274598077.0,,,0.01,,SPARK-FAST-LIO,5.04,,,,,13.35,
ciampino,cloudini,26274598077.0,,,0.01,,,,,,,,,
ciampino,cloudini,24978127189.0,,,0.1,,LOAM,8.48,,,,,28.1,
ciampino,cloudini,24978127189.0,,,0.1,,SPARK-FAST-LIO,4.93,,,,,12.61,
ciampino,cloudini,24978127189.0,,,0.1,,,,,,,,,
ciampino,cloudini,24597365517.0,,,0.2,,LOAM,15.89,,,,,35.09,
ciampino,cloudini,24597365517.0,,,0.2,,SPARK-FAST-LIO,3.08,,,,,13.35,
ciampino,cloudini,24597365517.0,,,0.2,,,,,,,,,
ciampino,cloudini,24099387333.0,,,0.5,,LOAM,584.6,,,,,1586.31,
ciampino,cloudini,24099387333.0,,,0.5,,SPARK-FAST-LIO,32.8,,,,,84.35,
ciampino,cloudini,24099387333.0,,,0.5,,,,,,,,,
ciampino,draco,24750594086.0,10.0,10.0,6.0,,LOAM,493.24,,,,,1069.93,
ciampino,draco,24750594086.0,10.0,10.0,6.0,,SPARK-FAST-LIO,114.37,,,,,286.56,
ciampino,draco,24750594086.0,10.0,10.0,6.0,,,,,,,,,
ciampino,draco,24751893750.0,10.0,10.0,8.0,,LOAM,276.16,,,,,584.63,
ciampino,draco,24751893750.0,10.0,10.0,8.0,,SPARK-FAST-LIO,3.75,,,,,11.86,
ciampino,draco,24751893750.0,10.0,10.0,8.0,,,,,,,,,
ciampino,draco,24797923298.0,10.0,10.0,10.0,,LOAM,10.67,,,,,27.77,
ciampino,draco,24797923298.0,10.0,10.0,10.0,,SPARK-FAST-LIO,3.11,,,,,11.02,
ciampino,draco,24797923298.0,10.0,10.0,10.0,,,,,,,,,
ciampino,draco,25122177574.0,10.0,10.0,12.0,,LOAM,7.02,,,,,17.72,
ciampino,draco,25122177574.0,10.0,10.0,12.0,,SPARK-FAST-LIO,2.94,,,,,9.9,
ciampino,draco,25122177574.0,10.0,10.0,12.0,,,,,,,,,
ciampino,draco,26040467346.0,10.0,10.0,14.0,,LOAM,6.04,,,,,16.01,
ciampino,draco,26040467346.0,10.0,10.0,14.0,,SPARK-FAST-LIO,4.59,,,,,12.24,
ciampino,draco,26040467346.0,10.0,10.0,14.0,,,,,,,,,
ciampino,uncompressed,58896690805.0,,,,,LOAM,5.92,,,,,16.33,
ciampino,uncompressed,58896690805.0,,,,,LOAM,5.92,,,,,16.33,
ciampino,uncompressed,58896690805.0,,,,,SPARK-FAST-LIO,4.94,,,,,11.54,
ciampino,uncompressed,58896690805.0,,,,,SPARK-FAST-LIO,4.94,,,,,11.54,
ciampino,uncompressed,58896690805.0,,,,,,,,,,,,
cloister,cloudini,5274888252.0,,,0.001,,LIORF,5.782829918434559,3.1490403769299955,1.3626878611249025,4.850223352589698,0.4863243339228738,20.53950546056638,93100.08327366853
cloister,cloudini,5274888252.0,,,0.001,,LOAM,0.12,,,,,0.33,
cloister,cloudini,5274888252.0,,,0.001,,SPARK-FAST-LIO,0.06,,,,,0.15,
