total_data_size(byte)->,18154556451
order,topic_name,topic_size,percentage
1,/os_cloud_node/points,13590126000,74.85793462748808
2,/os_node/lidar_packets,3443091345,18.965439085736218
3,/alphasense_driver_ros/cam4/compressed,291353772,1.6048520534576405
4,/alphasense_driver_ros/cam3/compressed,283764640,1.5630491483826336
5,/alphasense_driver_ros/cam0/compressed,267172006,1.471652621869941
6,/alphasense_driver_ros/cam1/compressed,254923238,1.404183234594851
7,/alphasense_driver_ros/imu,14332772,0.07894862118325405
8,/os_cloud_node/imu,6997752,0.038545430833781376
9,/loam_opensource,1563840,0.008614035843953982
10,/os_node/imu_packets,1231086,0.0067811406096467235
