total_data_size(byte)->,3948696532
order,topic_name,topic_size,percentage
1,/lidar_points,2040262608,51.669268364024276
2,/lidar_points/draco,1883468148,47.69847803538426
3,/front_scan,21531916,0.5452917393247783
4,/husky_velocity_controller/odom,888348,0.02249724669396296
5,/tf,647856,0.01640683184311111
6,/dynamic_joint_states,446628,0.011310770437296294
7,/joy_teleop/joy,392392,0.009937253896825921
8,/diagnostics,386592,0.009790369983286425
9,/joint_states,309204,0.007830533379666665
10,/joy_teleop/cmd_vel,176436,0.004468208649871502
11,/husky_velocity_controller/cmd_vel_unstamped,172588,0.004370758770681849
12,/robot_description,10940,0.0002770534507107066
13,/rosout,1512,3.829111677098614e-05
14,/tf_static,1364,3.4543044494461044e-05
