total_data_size(byte)->,11832120570
order,topic_name,topic_size,percentage
1,/os_cloud_node/points,8883915700,75.08303898225067
2,/os_node/lidar_packets,2251561430,19.029229939633723
3,/alphasense_driver_ros/cam1/compressed,183379115,1.5498415006431936
4,/alphasense_driver_ros/cam0/compressed,181737305,1.5359656278418061
5,/alphasense_driver_ros/cam4/compressed,163058160,1.3780975188287825
6,/alphasense_driver_ros/cam3/compressed,152695735,1.2905187544078585
7,/alphasense_driver_ros/imu,9369372,0.07918590707870043
8,/os_cloud_node/imu,4576176,0.03867587363505036
9,/loam_opensource,1022288,0.00863993900292042
10,/os_node/imu_packets,805068,0.00680408888024034
11,/tf_static,196,1.656507798753778e-06
12,/alphasense_driver_ros/serial_number,25,2.1128926004512478e-07
