data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size
quad_easy,draco,3178057342,10,10,12.0,
underground_mine,cloudini,2457050904,,,0.1,2.3
Colosseo,cloudini,28546309671,,,0.001,
cloister,draco,3869813952,3,3,14.0,3.6
quad_easy,cloudini,3842502095,,,0.001,
stairs,draco,1615157956,0,0,16.0,1.5
Campus,draco,9552335394,10,10,6.0,
stairs,draco,1829479576,3,0,20.0,1.7
maths_institute,draco,4365303836,9,3,20.0,
cloister,draco,4957695480,0,6,16.0,4.6
Pincio,draco,29663964860,10,10,10.0,
stairs,draco,2091327408,3,9,16.0,2.0
maths_institute,draco,3985163396,9,9,18.0,
Spagna,draco,35245187720,10,10,6.0,
Campus,cloudini,9308515399,,,0.5,
maths_institute,draco,3575436088,6,3,16.0,
underground_mine,cloudini,2392359048,,,0.4,2.2
stairs,draco,2654520880,9,0,20.0,2.5
maths_institute,draco,3170441468,10,10,9.0,3.0
stairs,draco,1397753260,3,0,12.0,1.3
park,draco,23303375900,10,10,6.0,21.7
stairs,draco,1689801728,9,0,12.0,1.6
cloister,draco,4418866988,10,10,12.0,
cloister,cloudini,4697483700,,,0.5,
underground_mine,draco,2059052580,3,3,14.0,1.9
maths_institute,draco,4365303836,9,0,20.0,
maths_institute,draco,2796429560,3,3,16.0,
cloister,draco,4418866988,9,3,12.0,4.1
cloister,draco,5502160384,6,0,18.0,5.1
stairs,draco,1829479576,3,3,20.0,1.7
underground_mine,draco,2306068904,10,10,12.0,
stairs,draco,1397753260,0,3,12.0,1.3
stairs,draco,1723580696,0,0,18.0,1.6
underground_mine,draco,3006153248,6,9,18.0,2.8
stairs,draco,2091327408,6,9,16.0,2.0
underground_mine,draco,2306068904,9,3,12.0,2.2
DIAG,cloudini,31676179597,,,0.01,
cloister,draco,3619824816,3,3,12.0,3.4
stairs,draco,2654520880,9,9,20.0,2.5
stairs,cloudini,2050013858,,,0.001,
cloister,draco,5048870492,0,9,16.0,4.7
cloister,draco,4372371276,3,0,18.0,4.1
park,draco,23309508528,10,10,8.0,21.7
stairs,draco,1856494360,9,0,14.0,1.7
stairs,draco,2620009980,0,6,20.0,2.4
maths_institute,cloudini,3644589500,,,0.3,3.4
cloister,draco,4372371276,3,3,18.0,4.1
maths_institute,draco,3985163396,9,0,18.0,
maths_institute,draco,3910778672,6,3,18.0,
quad_easy,cloudini,3493667195,,,0.1,2.2
cloister,draco,4560253196,6,6,14.0,4.3
Campus,draco,9573501114,10,10,10.0,
cloister,draco,4957695480,6,0,16.0,4.6
